"id","icao","iata","name","city","municipality","country_id/id","elevation","latitude","longitude","tz","lid"
"aerodrome_YTOK","YTOK","","Torres Park Homestead Airport","","Queensland","base.au","0","-25.1167","147.16701","Australia/Brisbane",""
"aerodrome_YTOS","YTOS","","Tenneco Station Two Airport","","South Australia","base.au","0","-29.55","139.95","Australia/Adelaide",""
"aerodrome_YTOT","YTOT","","Tottenham Airport","","New South Wales","base.au","238","-32.2483","147.368","Australia/Sydney",""
"aerodrome_YTPE","YTPE","","Tempe Downs Airport","","Northern Territory","base.au","1696","-24.3825","132.423","Australia/Darwin",""
"aerodrome_YTQY","YTQY","","Torquay Airport","Torquay","Victoria","base.au","9","-38.3","144.36501","Australia/Melbourne",""
"aerodrome_YTRB","YTRB","","Torrumbarry Airport","","Victoria","base.au","0","-36.0667","144.533","Australia/Melbourne",""
"aerodrome_YTRC","YTRC","","Tarcombe Airport","","Queensland","base.au","0","-24.0833","143.39999","Australia/Brisbane",""
"aerodrome_YTRE","YTRE","TRO","Taree Airport","Taree","New South Wales","base.au","38","-31.8886","152.51401","Australia/Sydney",""
"aerodrome_YTRK","YTRK","","Turee Creek Airport","","Western Australia","base.au","0","-23.6167","118.617","Australia/Perth",""
"aerodrome_YTST","YTST","TTX","Truscott Mungalalu Airport","","Western Australia","base.au","181","-14.0897","126.381","Australia/Perth",""
"aerodrome_YTTE","YTTE","","Ti Tree Airport","","Queensland","base.au","0","-13.985","141.657","Australia/Brisbane",""
"aerodrome_YTTI","YTTI","","Troughton Is Airport","","Western Australia","base.au","8","-13.7517","126.148","Australia/Perth",""
"aerodrome_YTUA","YTUA","","Triabunna Airport","","Tasmania","base.au","0","-42.5137","147.89799","Australia/Hobart",""
"aerodrome_YTUC","YTUC","","Tuckabiana Airport","","Western Australia","base.au","0","-27.475","118.125","Australia/Perth",""
"aerodrome_YTUG","YTUG","","Trugananni Airport","","Queensland","base.au","0","-24.4667","149.267","Australia/Brisbane",""
"aerodrome_YTUN","YTUN","","Tunbridge Airport","","Tasmania","base.au","0","-42.1","147.367","Australia/Hobart",""
"aerodrome_YTUY","YTUY","","Tully Airport","","Queensland","base.au","0","-17.9333","145.91701","Australia/Brisbane",""
"aerodrome_YTVA","YTVA","","Talavera Airport","","Queensland","base.au","0","-19.2167","143.66701","Australia/Brisbane",""
"aerodrome_YTWB","YTWB","TWB","Toowoomba Airport","","Queensland","base.au","2086","-27.5428","151.916","Australia/Brisbane",""
"aerodrome_YTWE","YTWE","","Trelawney Airport","","Queensland","base.au","0","-22.85","146.717","Australia/Brisbane",""
"aerodrome_YTWN","YTWN","","Tooraweenah Airport","","New South Wales","base.au","421","-31.4417","148.89999","Australia/Sydney",""
"aerodrome_YTYA","YTYA","","Tyabb Airport","Melbourne","Victoria","base.au","88","-38.2667","145.175","Australia/Melbourne",""
"aerodrome_YTYH","YTYH","","Tyagarah Airport","","New South Wales","base.au","0","-28.5947","153.5511","Australia/Sydney",""
"aerodrome_YTYN","YTYN","","Tieyon Airport","","South Australia","base.au","0","-26.2167","133.91701","Australia/Adelaide",""
"aerodrome_YUCH","YUCH","","Ucharonidge Airport","Ucharonidge Station","Northern Territory","base.au","0","-17.6724","134.24091","Australia/Darwin",""
"aerodrome_YUDA","YUDA","UDA","Undara Airport","","Queensland","base.au","0","-18.2","144.60001","Australia/Brisbane",""
"aerodrome_YUDG","YUDG","","Urandangi Airport","","Queensland","base.au","0","-21.59","138.358","Australia/Brisbane",""
"aerodrome_YUDL","YUDL","","Undilla Airport","","Queensland","base.au","0","-19.625","138.633","Australia/Brisbane",""
"aerodrome_YUMB","YUMB","","Umbeara Airport","","Northern Territory","base.au","0","-25.7467","133.702","Australia/Darwin",""
"aerodrome_YUMU","YUMU","","Umuwa Airport","","South Australia","base.au","0","-26.4867","132.03999","Australia/Adelaide",""
"aerodrome_YUNY","YUNY","CZY","Cluny Airport","","Queensland","base.au","90","-24.5167","139.617","Australia/Brisbane",""
"aerodrome_YUPG","YUPG","","Urapunga Airport","","Northern Territory","base.au","0","-14.7167","134.567","Australia/Darwin",""
"aerodrome_YUPH","YUPH","","Upper Horton Wyl Airport","","New South Wales","base.au","1253","-30.1047","150.40401","Australia/Sydney",""
"aerodrome_YUSL","YUSL","USL","Useless Loop Airport","","Western Australia","base.au","0","-26.1667","113.4","Australia/Perth",""
"aerodrome_YUTP","YUTP","","Utopia Airport","","Northern Territory","base.au","0","-22.055","134.78999","Australia/Darwin",""
"aerodrome_YUTS","YUTS","","Utopia Station Airport","","Northern Territory","base.au","0","-22.2333","134.58","Australia/Darwin",""
"aerodrome_YVAF","YVAF","","Valley Field Airport","","Tasmania","base.au","0","-41.81","147.29201","Australia/Hobart",""
"aerodrome_YVIV","YVIV","","Mount Vivian Airport","","South Australia","base.au","0","-30.5833","135.717","Australia/Adelaide",""
"aerodrome_YVLG","YVLG","","Valley of Lagoons Airport","","Queensland","base.au","0","-18.6667","145.10001","Australia/Brisbane",""
"aerodrome_YVNS","YVNS","","Vaughan Springs Airport","","Northern Territory","base.au","0","-22.3333","130.867","Australia/Darwin",""
