"id","code","aerodrome_id/id","length","length_uom_id/id","width","width_uom_id/id"
"runway_KSGF_02","02","aerodrome_KSGF","2134.51","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSGF_20","20","aerodrome_KSGF","2134.51","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSGF_14","14","aerodrome_KSGF","2438.4","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSGF_32","32","aerodrome_KSGF","2438.4","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSGH_06","06","aerodrome_KSGH","2745.94","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSGH_24","24","aerodrome_KSGH","2745.94","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSGH_15","15","aerodrome_KSGH","1676.1","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSGH_33","33","aerodrome_KSGH","1676.1","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSGJ_02","02","aerodrome_KSGJ","796.75","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSGJ_20","20","aerodrome_KSGJ","796.75","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSGJ_06","06","aerodrome_KSGJ","823.26","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_KSGJ_24","24","aerodrome_KSGJ","823.26","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_KSGJ_13","13","aerodrome_KSGJ","2437.18","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSGJ_31","31","aerodrome_KSGJ","2437.18","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSGR_17","17","aerodrome_KSGR","2438.4","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSGR_35","35","aerodrome_KSGR","2438.4","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSGS_16","16","aerodrome_KSGS","1219.5","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSGS_34","34","aerodrome_KSGS","1219.5","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSGT_09","09","aerodrome_KSGT","1524.61","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSGT_27","27","aerodrome_KSGT","1524.61","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSGT_18","18","aerodrome_KSGT","1833.37","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSGT_36","36","aerodrome_KSGT","1833.37","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSGU_19","19","aerodrome_KSGU","2834.64","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSHD_05","05","aerodrome_KSHD","1829.41","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSHD_23","23","aerodrome_KSHD","1829.41","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSHL_15","15","aerodrome_KSHL","1279.86","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSHL_33","33","aerodrome_KSHL","1279.86","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSHN_05","05","aerodrome_KSHN","1525.52","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSHN_23","23","aerodrome_KSHN","1525.52","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSHR_05","05","aerodrome_KSHR","1535.89","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSHR_23","23","aerodrome_KSHR","1535.89","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSHR_14","14","aerodrome_KSHR","2529.84","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSHR_32","32","aerodrome_KSHR","2529.84","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSHV_06","06","aerodrome_KSHV","1890.37","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSHV_24","24","aerodrome_KSHV","1890.37","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSHV_14","14","aerodrome_KSHV","2545.38","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSHV_32","32","aerodrome_KSHV","2545.38","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSIF_13","13","aerodrome_KSIF","1584.66","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSIF_31","31","aerodrome_KSIF","1584.66","uom.product_uom_meter","30.48","uom.product_uom_meter"
